obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category
SOM-1960,82332a5f-1e42-11e4-b4cd-db5882bf8def,520,SOM,Osman Daar,1960-07-01,1960-07-01,1967-07-10,1967-07-10,Regular,Regular,Regular,0,OK,M,1908,2007,,2007-06-08,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Aden-5FAbdullah-5FOsman-5FDaar&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=s8Z7hO3UHvIXyI49eUcSsnu7-UIZkrrEEOQSFr3NC70&e=,0,1.0,0,0.0,,,1960,1967,52,7.022731472925522, Somalia,Anocracy
SOM-1967,82332a60-1e42-11e4-b4cd-db5882bf8def,520,SOM,Shermarke,1967-07-10,1967-07-10,1969-10-15,1969-10-15,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1919,1969,1919-10-16,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Abdirashid-5FAli-5FShermarke&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=thHoZpBovhtcZMwu1s_ixMoz-rwviHx0MPcWjQHg07E&e=,0,3.0,11,3.0,,,1967,1969,48,2.266987001786484, Somalia,Anocracy
SOM-1969,82332a61-1e42-11e4-b4cd-db5882bf8def,520,SOM,Siad Barre,1969-10-21,1969-10-21,1991-01-26,1991-01-26,Irregular,Irregular,"Removed by Rebels, without Foreign Support",0,Exile,M,1912,1995,,1995-01-02,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Siad-5FBarre&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=5lPVvSDTqKhWYMyajKTdBbxKRkFS_YnYjpJ3IKtMv1Q&e=,1,3.0,4,1.0,,,1969,1991,57,21.26532372327974, Somalia,Anocracy
DJI-1977,82335b30-1e42-11e4-b4cd-db5882bf8def,522,DJI,Gouled Aptidon,1977-06-27,1977-06-27,1999-05-08,1999-05-08,Regular,Regular,Regular,0,OK,M,1916,2006,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Hassan-5FGouled-5FAptidon&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Uu-xw5pHC50yLxVZQEo3kJ6Ihu1iUoGnrLGuCwW3hA0&e=,0,1.0,0,0.0,Nephew of Guelleh%82335b31-1e42-11e4-b4cd-db5882bf8def,0.0,1977,1999,61,21.86218745080323, Djibouti,Anocracy
ETH-1871,82335b32-1e42-11e4-b4cd-db5882bf8def,530,ETH,Yohannes IV,1871-07-11,1871-07-11,1889-03-09,1889-03-09,Irregular,Irregular,Unknown,0,Death,M,1837,1889,,,,1,3.0,-999,3.0,,,1871,1889,34,17.66223810208286, Ethiopia,Anocracy
ETH-1889,82335b33-1e42-11e4-b4cd-db5882bf8def,530,ETH,Menelek II,1889-03-09,1889-03-09,1911-05-15,1911-05-15,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1844,1913,1844-08-17,1913-12-12,,1,2.0,0,-777.0,,,1889,1911,45,22.1797846636139, Ethiopia,Anocracy
ETH-1911,82335b34-1e42-11e4-b4cd-db5882bf8def,530,ETH,Joshua (Lij Yasu),1911-05-15,1911-05-15,1916-09-27,1916-09-27,Regular,Irregular,Unknown,0,Imprisonment,M,1894,1935,,,,0,3.0,-999,2.0,,,1911,1916,17,5.371773547711452, Ethiopia,Anocracy
ETH-1916,82338c04-1e42-11e4-b4cd-db5882bf8def,530,ETH,Judith (Zanditu),1916-09-27,1916-09-27,1930-04-03,1930-04-03,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1876,1930,,,,1,2.0,0,-777.0,,,1916,1930,40,13.51430898649527, Ethiopia,Anocracy
ETH-1930,82338c05-1e42-11e4-b4cd-db5882bf8def,530,ETH,Selassie,1930-04-03,1930-04-03,1936-05-15,1936-05-15,Regular,Foreign,Removed through Threat of Foreign Force,0,Exile,M,1892,1975,1892-07-23,1975-08-27,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Haile-5FSelassie-5FI-5Fof-5FEthiopia&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=lI-oflyBsbdH4mCkynAoCMrj22tEq-f36UT6EvDwciQ&e=,0,4.0,9,1.0,,,1930,1936,38,6.116484253612326, Ethiopia,Anocracy
ETH-1941,82338c05-1e42-11e4-b4cd-db5882bf8def,530,ETH,Selassie,1941-05-05,1941-05-05,1974-09-12,1974-09-12,Foreign Imposition,Irregular,"Removed by Military, without Foreign Support",1,Imprisonment,M,1892,1975,1892-07-23,1975-08-27,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Haile-5FSelassie-5FI-5Fof-5FEthiopia&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=lI-oflyBsbdH4mCkynAoCMrj22tEq-f36UT6EvDwciQ&e=,2,3.0,6,2.0,,,1941,1974,49,33.35592106614099, Ethiopia,Anocracy
ETH-1974-2,82338c08-1e42-11e4-b4cd-db5882bf8def,530,ETH,Banti,1974-11-28,1974-11-28,1977-02-03,1977-02-03,Regular,Irregular,"Removed by Military, without Foreign Support",0,Death,M,1921,1977,,,,0,3.0,6,3.0,,,1974,1977,53,2.184849791576829, Ethiopia,Anocracy
ETH-1991-2,8233bce4-1e42-11e4-b4cd-db5882bf8def,530,ETH,Meles Zenawi,1991-05-27,1991-05-27,2012-08-20,2012-08-20,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1955,2012,1955-08-23,2012-08-20,,1,2.0,0,-777.0,,,1991,2012,36,21.23520674620287, Ethiopia,Anocracy
ANG-1975,8233bce6-1e42-11e4-b4cd-db5882bf8def,540,ANG,Neto,1975-11-11,1975-11-11,1979-09-10,1979-09-10,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1922,1979,1922-09-17,1979-09-10,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Agostinho-5FNeto&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=DZyB5hB0VaGckhLDV8W28_u0ZPp_YAxK0X3Y817_K18&e=,1,2.0,0,-777.0,,,1975,1979,53,3.830331902776922,,
MZM-1975,8233edb7-1e42-11e4-b4cd-db5882bf8def,541,MZM,Machel,1975-06-25,1975-06-25,1986-10-19,1986-10-19,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1933,1986,1933-09-29,1986-10-19,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Samora-5FMachel&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=oN6rlDpQs6TMVl4RPmtrFHnJw6_gFt-EGCGEhN0-FTs&e=,1,2.0,0,-777.0,,,1975,1986,42,11.31850756689049,,
ZAM-2002,82341e8a-1e42-11e4-b4cd-db5882bf8def,551,ZAM,Levy Mwanawasa,2002-01-03,2002-01-03,2008-06-29,2008-06-29,Regular,Retired Due to Ill Health,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1948,2008,1948-09-03,2008-08-19,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Levy-5FMwanawasa&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=nMsfhgfUZPY7xSpGcrQ7ARSK9YDQkHApIFGCnBRBcok&e=,0,2.099999904632568,0,-777.0,,,2002,2008,54,6.486101699555775,,
ZAM-2011,8253f978-1e42-11e4-b4cd-db5882bf8def,551,ZAM,Sata,2011-09-23,2011-09-23,2014-10-28,2014-10-28,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1937,2014,1937-07-06,2014-10-28,,0,2.0,0,-777.0,,,2011,2014,74,3.096572824904002,,
ZIM-1965,82341e8b-1e42-11e4-b4cd-db5882bf8def,552,ZIM,Smith,1965-11-11,1965-11-11,1979-05-23,1979-05-23,Regular,Regular,Regular,0,OK,M,1919,2007,1919-04-08,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ian-5FSmith&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=U2mCtRkR-S5L_V-RBZ2KxQPeUTWdpKs_u3rR-fVnDQg&e=,0,1.0,0,0.0,,,1965,1979,46,13.52799852153022,,
