leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,Polity,pop,begin_gdppc,age,tenure,growth_rate
Holness,1.0,1.0,5.0,0,6.0,1,1972,0,1.0,0,0.0,0,,2011,9.0,3.429132693987107,3.853759033074769,39,0.2026051185171495,-0.0123232040330485
Simpson-Miller,1.0,7.0,15.0,1,8.0,0,1945,0,-888.0,-888,-888.0,0,,2012,9.0,3.427388622089381,3.848373883844602,67,3.986392602175267,-0.0010279313767191
de la Barra,1.0,1.0,5.0,0,2.0,1,1863,0,1.0,0,1.0,0,,1911,8.0,4.175511813363448,3.3324384599156054,48,0.4490167491461153,-0.0088372093023255
Madero,1.0,2.0,14.0,0,1.0,1,1873,0,3.0,-999,3.0,0,,1911,8.0,4.175221800343053,3.3324384599156054,38,1.2895542002915872,-0.033953488372093
Huerta,2.0,2.0,14.0,0,2.0,1,1845,1,3.0,-999,1.0,0,,1913,8.0,4.174931593528442,3.301897717195208,68,1.3990704805711274,0.0007485029940119
Carranza,2.0,2.0,11.0,0,1.0,1,1859,1,3.0,4,3.0,0,,1915,8.0,4.173186268412274,3.2962262872611605,56,4.547663538607911,0.0580384226491405
"de la Huerta, A",1.0,1.0,5.0,0,6.0,1,1881,0,1.0,0,0.0,0,,1920,8.0,4.173040507551063,3.4068806700491248,39,0.522940238334805,-0.0039184952978056
Obregon,2.0,1.0,5.0,0,6.0,1,1890,1,1.0,0,0.0,0,,1920,8.0,4.193375080615699,3.4068806700491248,30,4.000082137210209,-0.0022727272727272
Calles,1.0,1.0,5.0,0,2.0,1,1877,0,1.0,0,1.0,0,,1924,8.0,4.220448065070318,3.4019172505175748,47,4.000082137210209,0.0033293697978596
Portes Gil,1.0,1.0,5.0,0,6.0,1,1890,0,1.0,0,0.0,0,,1928,8.0,4.2348967457315885,3.409087369447835,38,1.1800379200120468,-0.0647173489278752
Ortiz Rubio,1.0,1.0,5.0,0,2.0,1,1877,0,1.0,0,1.0,0,,1930,8.0,4.250175948083925,3.348888723071438,53,2.5791084005831744,-0.051201671891327
Rodriguez,1.0,1.0,5.0,0,6.0,1,1889,0,1.0,0,0.0,0,,1932,8.0,4.265878659562822,3.2764618041732443,43,2.2396079317165998,0.0504409171075837
Cardenas,1.0,1.0,5.0,0,6.0,1,1895,0,1.0,0,0.0,0,,1934,8.0,4.3094811192361036,3.3376588910261424,39,6.001492159318809,0.0252100840336134
Avila Camacho,1.0,1.0,5.0,0,6.0,1,1897,0,1.0,0,0.0,0,,1940,8.0,4.387621151125087,3.4082399653118496,43,5.99875425231182,0.0367187499999999
Aleman Valdes,1.0,1.0,5.0,0,2.0,1,1903,0,1.0,0,1.0,0,,1946,8.0,4.479205448211605,3.494711025205263,43,6.001492159318809,0.0266142308395829
Ruiz Cortines,1.0,1.0,5.0,0,6.0,1,1890,0,1.0,0,0.0,0,,1952,8.0,4.558011640830013,3.5689054149828787,62,5.99875425231182,0.0357528332433891
Lopez Mateos,1.0,1.0,5.0,0,6.0,1,1910,0,1.0,0,0.0,0,,1958,8.0,4.641221938283735,3.653309012938479,48,6.001492159318809,0.0334528834862094
Diaz Ordaz,1.0,1.0,5.0,0,6.0,1,1911,0,1.0,0,0.0,0,,1964,8.0,4.722429542186713,3.7446840632768863,53,5.99875425231182,0.0395439543954395
Echeverria Alvarez,1.0,1.0,5.0,0,6.0,1,1922,0,1.0,0,0.0,0,,1970,8.0,4.7939297554932585,3.83714634390906,48,6.001492159318809,0.0261478663923011
Lopez Portillo,1.0,1.0,5.0,0,6.0,1,1920,0,1.0,0,0.0,0,,1976,8.0,4.85516105735196,3.910143961064513,56,5.99875425231182,0.0432296150534989
de La Madrid,1.0,1.0,5.0,0,6.0,1,1934,0,1.0,0,0.0,0,,1982,8.0,4.912656750019034,4.010299956639812,48,6.001492159318809,-0.0146065848214285
Salinas,1.0,1.0,5.0,0,2.0,1,1948,0,1.0,0,1.0,0,,1988,8.0,4.957873628709859,3.9634572601167077,40,5.996016345304832,0.0277023858733094
Zedillo,1.0,1.0,5.0,0,6.0,1,1951,0,1.0,0,0.0,0,,1994,8.0,4.993007864294704,4.030235628184,43,5.99875425231182,0.0294186868855611
Vicente Fox Quesada,1.0,1.0,5.0,0,6.0,1,1942,0,1.0,0,0.0,0,,2000,8.0,5.024199253760927,4.100832034147711,58,5.996016345304832,0.0221214834705249
Calderon,1.0,1.0,5.0,0,6.0,1,1962,0,1.0,0,0.0,0,,2006,8.0,5.057520174323135,4.154958015533986,44,6.001492159318809,0.013512672770686
