idacr,yrend,gdppc,pop
ARE,1958,32473.0,93.34
ARE,1959,34153.0,97.87
ARE,1960,35758.0,103.048
ARE,1961,36949.0,108.989
ARE,1962,38654.0,115.827
ARE,1963,39889.0,123.751
ARE,1964,40927.0,132.98
ARE,1965,41705.0,143.798
ARE,1966,42213.0,156.574
ARE,1967,42416.0,171.745
ARE,1968,42040.0,190.974
ARE,1969,40639.0,217.858
ARE,1970,39135.0,249.369
ARE,1971,39540.0,288.136
ARE,1972,39540.0,336.325
ARE,1973,39669.0,391.337
ARE,1974,45347.0,453.222
ARE,1975,40591.0,522.571
ARE,1976,40803.0,598.023
ARE,1977,41915.0,683.672
ARE,1978,35936.0,778.736
ARE,1979,39534.0,884.04
ARE,1980,44168.0,1000.285
ARE,1981,42456.0,1069.722
ARE,1982,36635.0,1137.549
ARE,1983,32737.0,1209.1
ARE,1984,32135.0,1284.385
ARE,1985,29562.0,1363.482
ARE,1986,21949.0,1446.574
ARE,1987,21487.0,1530.444
ARE,1988,20215.0,1622.747
ARE,1989,21072.0,1722.063
ARE,1990,22254.0,1826.25
ARE,1991,0.0,1934.841255
ARE,1992,0.0,2050.441137
ARE,1993,25558.7564,2170.545636
ARE,1994,28334.582,2291.646945
ARE,1995,31239.9171,2412.207899
ARE,1996,34042.7413,2536.095878
ARE,1997,38168.4666,2668.174071
ARE,1998,39667.7948,2809.856788
ARE,1999,42372.4393,2962.494417
ARE,2000,48888.0321,3130.321897
ARE,2001,51263.3766,3298.777627
ARE,2002,54077.4669,3474.625524
ARE,2003,59823.2673,3707.502283
ARE,2004,64925.6714,4063.714681
ARE,2005,65599.0579,4582.74954
ARE,2006,67830.9262,5293.848919
ARE,2007,65412.801,6161.47628
ARE,2008,63862.0848,7081.026603
ARE,2009,58860.5359,7907.923628
ARE,2010,60112.4019,8539.784682
ARE,2011,65307.0,8936.100165
ARE,2012,68255.0,9130.686673
ARE,2013,70791.0,9186.933469
ARE,2014,72601.0,9203.179059
ARE,2015,74746.0,9251.845912
ARE,2016,75876.0,9349.808866
ARE,2017,76643.4984,9475.881235
ARE,2018,76397.8181,9619.465681
ARG,1800,1484.0,
ARG,1820,1591.0,534.0
ARG,1850,1994.0,1100.0
ARG,1860,2160.0,
ARG,1870,2340.0,1796.0
ARG,1875,2606.0,
ARG,1876,2611.0,
ARG,1877,2820.0,
ARG,1878,2619.0,
ARG,1879,2664.0,
ARG,1880,2557.0,
ARG,1881,2541.0,
ARG,1882,3108.0,
ARG,1883,3373.0,
ARG,1884,3486.0,
ARG,1885,3904.0,
ARG,1886,3771.0,
ARG,1887,3841.0,
ARG,1888,4219.0,
ARG,1889,4288.0,
ARG,1890,3851.0,3376.0
ARG,1891,3631.0,
ARG,1892,4251.0,
ARG,1893,4409.0,
ARG,1894,4968.0,
ARG,1895,5384.0,
ARG,1896,5716.0,
ARG,1897,4500.0,
ARG,1898,4741.0,
ARG,1899,5412.0,
ARG,1900,4583.0,4693.0
ARG,1901,4591.0,4873.0
ARG,1902,4331.0,5060.0
ARG,1903,4769.0,5254.0
ARG,1904,5086.0,5455.0
ARG,1905,5545.0,5664.0
ARG,1906,5608.0,5881.0
ARG,1907,5514.0,6107.0
ARG,1908,5829.0,6341.0
ARG,1909,5896.0,6584.0
ARG,1910,6092.0,6836.0
ARG,1911,5971.0,7098.0
ARG,1912,6223.0,7370.0
ARG,1913,6052.0,7653.0
ARG,1914,5263.0,7885.0
ARG,1915,5171.0,8072.0
ARG,1916,4927.0,8226.0
ARG,1917,4447.0,8374.0
ARG,1918,5177.0,8518.0
ARG,1919,5271.0,8672.0
ARG,1920,5536.0,8861.0
ARG,1921,5533.0,9092.0
ARG,1922,5796.0,9368.0
ARG,1923,6213.0,9707.0
ARG,1924,6464.0,10054.0
ARG,1925,6247.0,10358.0
ARG,1926,6366.0,10652.0
ARG,1927,6625.0,10965.0
ARG,1928,6840.0,11282.0
ARG,1929,6961.0,11592.0
ARG,1930,6503.0,11896.0
ARG,1931,5917.0,12167.0
ARG,1932,5614.0,12402.0
ARG,1933,5772.0,12623.0
ARG,1934,6129.0,12834.0
ARG,1935,6296.0,13044.0
ARG,1936,6236.0,13260.0
ARG,1937,6575.0,13490.0
ARG,1938,6491.0,13724.0
ARG,1939,6612.0,13984.0
ARG,1940,6633.0,14169.0
ARG,1941,6861.0,14402.0
ARG,1942,6829.0,14638.0
ARG,1943,6666.0,14877.0
ARG,1944,7299.0,15130.0
ARG,1945,6943.0,15390.0
ARG,1946,7436.0,15654.0
ARG,1947,8112.0,15942.0
ARG,1948,8372.0,16307.0
ARG,1949,8045.0,16737.0
ARG,1950,7949.0,17150.336
ARG,1951,8086.0,17517.342
ARG,1952,7519.0,17876.956
ARG,1953,7769.0,18230.816
ARG,1954,7938.0,18580.559
ARG,1955,8348.0,18927.821
ARG,1956,8424.0,19271.511
ARG,1957,8705.0,19610.538
ARG,1958,9083.0,19946.539
ARG,1959,8354.0,20281.15
ARG,1960,8861.0,20616.009
ARG,1961,9344.0,20950.583
ARG,1962,9049.0,21283.783
ARG,1963,8695.0,21616.403
ARG,1964,9446.0,21949.244
ARG,1965,10155.0,22283.1
ARG,1966,10076.0,22611.604
ARG,1967,10200.0,22934.225
ARG,1968,10485.0,23260.514
ARG,1969,11217.0,23600.026
ARG,1970,11639.0,23962.313
ARG,1971,12003.0,24363.816
ARG,1972,12170.0,24779.799
ARG,1973,12691.0,25209.829
ARG,1974,13284.0,25646.371
ARG,1975,12946.0,26081.88
ARG,1976,12696.0,26531.28
ARG,1977,13236.0,26983.828
ARG,1978,12444.0,27440.272
ARG,1979,13114.0,27901.971
ARG,1980,13080.0,28369.799
ARG,1981,12125.0,28848.0
ARG,1982,11550.0,29330.0
