obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category,end_gdppc,pop
PER-1872,81f89af9-1e42-11e4-b4cd-db5882bf8def,135,PER,Pardo,1872-08-02,1872-08-02,1876-08-02,1876-08-02,Regular,Regular,Regular,0,Exile,M,1834,1878,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Manuel-5FPardo&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=vJOabHM_OZYX-wCGcdW1jnyWKJPjExFTk_7xzrI3WeM&e=,0,1.0,0,1.0,Father of Pardo y Barreda%81f95e44-1e42-11e4-b4cd-db5882bf8def,0.0,1872,1876,38,4.000082137210209, Peru,Democracy,1792.0,
PER-1876,81f8cbc8-1e42-11e4-b4cd-db5882bf8def,135,PER,Prado,1876-08-02,1876-08-02,1879-12-17,1879-12-17,Regular,Regular,Regular,0,Exile,M,1826,1901,,,,0,1.0,0,1.0,Father of Ugarteche%81f9bff0-1e42-11e4-b4cd-db5882bf8def,0.0,1876,1879,50,3.373101432609841, Peru,Democracy,1194.0,
PER-1879-2,81f8cbca-1e42-11e4-b4cd-db5882bf8def,135,PER,Pierola,1879-12-22,1879-12-22,1881-01-16,1881-01-16,Irregular,Foreign,Unknown,0,Exile,M,1839,1913,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Nicol-25C3-25A1s-5Fde-5FPi-25C3-25A9rola&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Z9yXyQGWT6wFHEiaPlroiLMtfKz0Vdhh2fLQChcDKDw&e=,1,4.0,-999,1.0,,,1879,1881,40,1.070521639732507, Peru,Democracy,784.0,
PER-1881-2,81f8cbcc-1e42-11e4-b4cd-db5882bf8def,135,PER,Lizardo Montero Flores,1881-09-28,1881-09-28,1882-12-30,1882-12-30,Irregular,Foreign,Unknown,0,Exile,M,1832,1905,,,,1,4.0,-999,1.0,,,1881,1882,49,1.253961409200737, Peru,Democracy,830.0,
PER-1882,81f8cbcd-1e42-11e4-b4cd-db5882bf8def,135,PER,Iglesias,1882-12-30,1882-12-30,1885-11-30,1885-11-30,Foreign Imposition,Irregular,Unknown,0,OK,M,1830,1909,,,,2,3.0,-999,0.0,,,1882,1885,52,2.918608869449749, Peru,Democracy,854.0,
PER-1885,81f8fc9c-1e42-11e4-b4cd-db5882bf8def,135,PER,Caceres,1885-11-30,1885-11-30,1890-08-10,1890-08-10,Irregular,Regular,Regular,0,OK,M,1833,1923,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Andr-25C3-25A9s-5FAvelino-5FC-25C3-25A1ceres&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=zGqakZiaEUNEBWhjPndiYm5LT2rC8ezVr4ZnUg0Ap3I&e=,1,1.0,0,0.0,,,1885,1890,52,4.692772609978302, Peru,Democracy,846.0,3346.0
PER-1890,81f8fc9d-1e42-11e4-b4cd-db5882bf8def,135,PER,Bermudez,1890-08-10,1890-08-10,1894-04-01,1894-04-01,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1836,1894,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Remigio-5FMorales-5FBerm-25C3-25BAdez&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Fius6e0QzrIXE1K3FyMP-lSki1XXBjMA-OJBDaTb5PQ&e=,0,2.0,0,-777.0,Grandfather of Morales Bermudez%81fa5269-1e42-11e4-b4cd-db5882bf8def,0.0,1890,1894,54,3.641416319294715, Peru,Democracy,792.0,
PER-1895-2,81f8cbca-1e42-11e4-b4cd-db5882bf8def,135,PER,Pierola,1895-09-08,1895-09-08,1899-09-08,1899-09-08,Irregular,Regular,Regular,1,OK,M,1839,1913,,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Nicol-25C3-25A1s-5Fde-5FPi-25C3-25A9rola&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Z9yXyQGWT6wFHEiaPlroiLMtfKz0Vdhh2fLQChcDKDw&e=,1,1.0,0,0.0,,,1895,1899,56,4.000082137210209, Peru,Democracy,1073.0,3603.0
PER-1899,81f92d71-1e42-11e4-b4cd-db5882bf8def,135,PER,de Romana,1899-09-08,1899-09-08,1903-09-08,1903-09-08,Regular,Regular,Regular,0,OK,M,1847,1912,1847-03-19,,,0,1.0,0,0.0,,,1899,1903,52,3.997344230203221, Peru,Democracy,1272.0,3788.0
PER-1904-2,81f95e44-1e42-11e4-b4cd-db5882bf8def,135,PER,Pardo y Barreda,1904-09-24,1904-09-24,1908-09-24,1908-09-24,Regular,Regular,Regular,0,Exile,M,1864,1947,1864-02-24,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FPardo-5Fy-5FBarreda&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ijJAkH01bMX0IWEIAjhyfo6D4zW31kM27lj8vMnj9ic&e=,0,1.0,0,1.0,Son of Pardo%81f89af9-1e42-11e4-b4cd-db5882bf8def,1.0,1904,1908,40,4.000082137210209, Peru,Democracy,1549.0,4034.0
