obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,yrbegin,yrend,age,tenure,Country,Polity datasets IV category,end_gdppc,pop
ARG-1938,8202e7de-1e42-11e4-b4cd-db5882bf8def,160,ARG,Ortiz,1938-02-20,1938-02-20,1942-06-22,1942-06-22,Regular,Retired Due to Ill Health,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1886,1942,1886-09-24,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Roberto-5FMar-25C3-25ADa-5FOrtiz&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=AkWGvXUz8-W3GyIwfMIaBjgfN7HMurIIWIM-l9I4BoA&e=,0,2.099999904632568,0,-777.0,,,1938,1942,52,4.334106792062808, Argentina,Democracy,6829.0,14638.0
ARG-1944,820318b3-1e42-11e4-b4cd-db5882bf8def,160,ARG,Farrell,1944-03-10,1944-03-10,1946-06-04,1946-06-04,Regular,Regular,Regular,0,OK,M,1887,1980,1887-08-12,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Edelmiro-5FJuli-25C3-25A1n-5FFarrell&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=F91SqYZhTg0FaXgtSX93vMqY4Agr5Y2VW7aC1AMDZms&e=,0,1.0,0,0.0,,,1944,1946,57,2.234132117702622, Argentina,Democracy,7436.0,15654.0
ARG-1946,820318b4-1e42-11e4-b4cd-db5882bf8def,160,ARG,Peron,1946-06-04,1946-06-04,1955-09-20,1955-09-20,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1895,1974,1895-10-08,1974-07-01,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FPer-25C3-25B3n&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=UWQPDNkP5nN9S4RzQmCv1fgp_Z_zmD8dT9A7AOT5iZw&e=,0,3.0,6,1.0,"Husband of Peron, Isabel%8203dc03-1e42-11e4-b4cd-db5882bf8def",0.0,1946,1955,51,9.295194288725984, Argentina,Democracy,8348.0,18927.821
ARG-1955-2,82034986-1e42-11e4-b4cd-db5882bf8def,160,ARG,Aramburu,1955-11-13,1955-11-13,1958-05-01,1958-05-01,Irregular,Regular,Regular,0,OK,M,1903,1970,1903-05-21,1970-05-31,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Pedro-5FEugenio-5FAramburu&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=nwr16_2MP5gynuWd9pPZLyvB2un77XMzYnZPPWnqVoE&e=,1,1.0,0,0.0,,,1955,1958,52,2.464116306289657, Argentina,Democracy,9083.0,19946.539
ARG-1958,82034987-1e42-11e4-b4cd-db5882bf8def,160,ARG,Frondizi,1958-05-01,1958-05-01,1962-03-29,1962-03-29,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1908,1995,1908-10-28,1995-04-18,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Arturo-5FFrondizi&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fPLpye_mECEn0G0QLfs86xz_UfEKitPRc2gTlV7LWBA&e=,0,3.0,6,2.0,,,1958,1962,50,3.909731205979589, Argentina,Democracy,9049.0,21283.783
ARG-1962,82034988-1e42-11e4-b4cd-db5882bf8def,160,ARG,Guido,1962-03-29,1962-03-29,1963-10-12,1963-10-12,Regular,Regular,Regular,0,OK,M,1910,1975,1910-08-20,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FMar-25C3-25ADa-5FGuido&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=TqObfFAFnIm4JtPT341pIi_5RkNR8c2qsCmeZak6qTU&e=,0,1.0,0,0.0,,,1962,1963,52,1.538703737927541, Argentina,Democracy,8695.0,21616.403
ARG-1963,82037a5a-1e42-11e4-b4cd-db5882bf8def,160,ARG,Arturo Illia,1963-10-12,1963-10-12,1966-06-28,1966-06-28,Regular,Irregular,"Removed by Military, without Foreign Support",0,OK,M,1900,1983,1900-08-04,1983-01-18,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Arturo-5FUmberto-5FIllia&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=f3pkJPBhXHzkQPSytHXKKC-QPe5hzbCg5S83gH6MWgY&e=,0,3.0,6,0.0,,,1963,1966,63,2.710527936918623, Argentina,Democracy,10076.0,22611.604
ARG-1966,82037a5b-1e42-11e4-b4cd-db5882bf8def,160,ARG,Ongania,1966-06-28,1966-06-28,1970-06-08,1970-06-08,Irregular,Irregular,"Removed by Military, without Foreign Support",0,OK,M,1914,1995,1914-03-17,1995-06-08,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FCarlos-5FOngan-25C3-25ADa&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=g4x2rDMr8zyjWwDeR4xcesiDTVS3ZWAhn_zWZ4QYazQ&e=,1,3.0,6,0.0,,,1966,1970,52,3.94532399707044, Argentina,Democracy,11639.0,23962.313
ARG-1971,82037a5c-1e42-11e4-b4cd-db5882bf8def,160,ARG,Lanusse,1971-03-25,1971-03-25,1973-05-25,1973-05-25,Irregular,Regular,Regular,1,OK,M,1918,1996,1918-08-28,1996-08-26,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Alejandro-5FAgust-25C3-25ADn-5FLanusse&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Rim7V1XX4LthmCTZH8OMiqwtZn8ouqYpjiLC0DRnN_I&e=,1,1.0,0,0.0,,,1971,1973,53,2.168422349534898, Argentina,Democracy,12691.0,25209.829
ARG-1983,82043db6-1e42-11e4-b4cd-db5882bf8def,160,ARG,Alfonsin,1983-12-10,1983-12-10,1989-07-08,1989-07-08,Regular,Regular,Regular,0,OK,M,1926,2009,1926-03-13,,,0,1.0,0,0.0,,,1983,1989,57,5.57711657323559, Argentina,Democracy,10393.0,32572.0
ARG-2003,82049f5e-1e42-11e4-b4cd-db5882bf8def,160,ARG,Nestor Kirchner,2003-05-25,2003-05-25,2007-12-10,2007-12-10,Regular,Regular,Regular,0,OK,M,1950,2010,,,,0,1.0,0,0.0,,,2003,2007,53,4.544925631600923, Argentina,Democracy,17891.9434,40134.52368
BEL-1871,8209c5d7-1e42-11e4-b4cd-db5882bf8def,211,BEL,Jules Malou,1871-12-07,1871-12-07,1878-06-19,1878-06-19,Regular,Regular,Regular,0,OK,M,1810,1886,,,,0,1.0,0,0.0,,,1871,1878,61,6.532646118674579, Belgium,Democracy,4689.0,5442.0
BEL-1878,19768ee8-3bbd-11e5-afeb-eb6f07f9fec7,211,BEL,Walthere Frere-Orban,1878-06-19,1878-06-19,1884-06-16,1884-06-16,Regular,Regular,Regular,1,OK,M,1812,1896,1812-04-22,1896-02-02,,0,1.0,0,0.0,,,1878,1884,66,5.993278438297843, Belgium,Democracy,4999.0,5807.0
BEL-1884-2,8209c5d8-1e42-11e4-b4cd-db5882bf8def,211,BEL,Auguste Marie Franaois Beernaert,1884-10-26,1884-10-26,1894-03-26,1894-03-26,Regular,Regular,Regular,0,OK,M,1829,1912,1829-07-26,1912-10-06,,0,1.0,0,0.0,,,1884,1894,55,9.412924290026488, Belgium,Democracy,5528.0,6370.0
BEL-1894,8209c5d9-1e42-11e4-b4cd-db5882bf8def,211,BEL,Jules Philippe Marie de Burlet,1894-03-26,1894-03-26,1896-02-25,1896-02-25,Regular,Regular,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1844,1897,1844-04-10,1897-03-01,,0,1.0,0,-777.0,,,1894,1896,50,1.919272811898944, Belgium,Democracy,5660.0,6494.0
BEL-1896,8209c5da-1e42-11e4-b4cd-db5882bf8def,211,BEL,Paul de Smet de Nayer,1896-02-25,1896-02-25,1899-01-24,1899-01-24,Regular,Regular,Regular,0,OK,M,1843,1913,,,,0,1.0,0,0.0,,,1896,1899,53,2.913133055435772, Belgium,Democracy,5828.0,6662.0
BEL-1899-2,8209c5da-1e42-11e4-b4cd-db5882bf8def,211,BEL,Paul de Smet de Nayer,1899-08-05,1899-08-05,1907-05-02,1907-05-02,Regular,Regular,Regular,1,OK,M,1843,1913,,,,0,1.0,0,0.0,,,1899,1907,56,7.737325201749522, Belgium,Democracy,6268.0,7338.0
BEL-1908,8209f6ab-1e42-11e4-b4cd-db5882bf8def,211,BEL,Frans Schollaert,1908-01-09,1908-01-09,1911-06-17,1911-06-17,Regular,Regular,Regular,0,OK,M,1851,1917,1851-08-19,,,0,1.0,0,0.0,,,1908,1911,57,3.436073293770577, Belgium,Democracy,6612.0,7517.0
BEL-1911,8209f6ac-1e42-11e4-b4cd-db5882bf8def,211,BEL,"Charles, baron de Broqueville",1911-06-17,1911-06-17,1914-08-01,1914-08-01,Regular,Foreign,Unknown,0,Exile,M,1860,1940,1860-12-04,1940-09-05,,0,4.0,-999,1.0,,,1911,1914,51,3.123951894973887, Belgium,Democracy,6253.0,7723.0
BEL-1914-2,8209f6ae-1e42-11e4-b4cd-db5882bf8def,211,BEL,Von Bissing,1914-11-27,1914-11-27,1917-04-18,1917-04-18,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1844,1917,,1917-04-18,,0,2.0,0,-777.0,,,1914,1917,70,2.390192817100967, Belgium,Democracy,5609.0,7729.0
BEL-1917,8209f6af-1e42-11e4-b4cd-db5882bf8def,211,BEL,Von Falkenhausen,1917-04-18,1917-04-18,1918-11-11,1918-11-11,Regular,Foreign,Unknown,0,OK,M,1844,1936,1844-09-13,1936-05-04,,0,4.0,-999,0.0,,,1917,1918,73,1.566082807997426, Belgium,Democracy,4560.0,7660.0
BEL-1918-2,820a277f-1e42-11e4-b4cd-db5882bf8def,211,BEL,Delacroix,1918-11-22,1918-11-22,1920-11-03,1920-11-03,Regular,Regular,Regular,0,OK,M,1876,1929,1876-12-27,1929-10-15,,0,1.0,0,0.0,,,1918,1920,42,1.949389788975817, Belgium,Democracy,6315.0,7552.0
BEL-1920,820a2780-1e42-11e4-b4cd-db5882bf8def,211,BEL,de Wiart,1920-11-18,1920-11-18,1921-11-19,1921-11-19,Regular,Regular,Regular,0,OK,M,1869,1951,1869-01-31,1951-05-06,,0,1.0,0,0.0,,,1920,1921,51,1.002073964557794, Belgium,Democracy,6465.0,7504.0
BEL-1921,820a2781-1e42-11e4-b4cd-db5882bf8def,211,BEL,Theunis,1921-12-15,1921-12-15,1925-04-05,1925-04-05,Regular,Regular,Regular,0,OK,M,1873,1944,,,,0,1.0,0,0.0,,,1921,1925,48,3.304653757435129, Belgium,Democracy,7438.0,7779.0
BEL-1926,820a2784-1e42-11e4-b4cd-db5882bf8def,211,BEL,Jasper,1926-05-20,1926-05-20,1931-05-21,1931-05-21,Regular,Regular,Regular,0,OK,M,1870,1939,1870-07-28,1939-02-15,,0,1.0,0,0.0,,,1926,1931,56,5.002156101768003, Belgium,Democracy,7747.0,8126.0
BEL-1931,820a5852-1e42-11e4-b4cd-db5882bf8def,211,BEL,Renkin,1931-06-05,1931-06-05,1932-10-18,1932-10-18,Regular,Regular,Regular,0,OK,M,1862,1934,,,,0,1.0,0,0.0,,,1931,1932,69,1.371691410501242, Belgium,Democracy,7343.0,8186.0
BEL-1932,8209f6ac-1e42-11e4-b4cd-db5882bf8def,211,BEL,"Charles, baron de Broqueville",1932-10-22,1932-10-22,1934-11-13,1934-11-13,Regular,Regular,Regular,1,OK,M,1860,1940,1860-12-04,1940-09-05,,0,1.0,0,0.0,,,1932,1934,72,2.058906069255358, Belgium,Democracy,7371.0,8262.0
BEL-1935,820a5853-1e42-11e4-b4cd-db5882bf8def,211,BEL,van ZeeLand,1935-03-26,1935-03-26,1937-10-25,1937-10-25,Regular,Regular,Regular,0,OK,M,1893,1973,,,,0,1.0,0,0.0,,,1935,1937,42,2.584584214597151, Belgium,Democracy,7908.0,8346.0
BEL-1939,820a5856-1e42-11e4-b4cd-db5882bf8def,211,BEL,Pierlot,1939-02-09,1939-02-09,1940-05-28,1940-05-28,Regular,Foreign,Removed through Threat of Foreign Force,0,Exile,M,1883,1963,,,,0,4.0,9,1.0,,,1939,1940,56,1.297767921312553, Belgium,Democracy,7272.0,8346.0
BEL-1945,820a5857-1e42-11e4-b4cd-db5882bf8def,211,BEL,van Acker,1945-02-11,1945-02-11,1946-02-18,1946-02-18,Regular,Regular,Regular,0,OK,M,1898,1975,,,,0,1.0,0,0.0,,,1945,1946,47,1.018501406599725, Belgium,Democracy,7291.0,8367.0
BEL-1947,820a5855-1e42-11e4-b4cd-db5882bf8def,211,BEL,Spaak,1947-03-19,1947-03-19,1949-06-28,1949-06-28,Regular,Regular,Regular,2,OK,M,1899,1972,,1972-07-31,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Paul-2DHenri-5FSpaak&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=CSH7g19R9NwSJsXUSUrT7IMl2lBWLb9DeJyZi71nw-o&e=,0,1.0,0,0.0,,,1947,1949,48,2.277938629814438, Belgium,Democracy,8278.0,8614.0
BEL-1950-2,820a8929-1e42-11e4-b4cd-db5882bf8def,211,BEL,Pholien,1950-08-15,1950-08-15,1952-01-09,1952-01-09,Regular,Regular,Regular,0,OK,M,1884,1968,1884-12-28,1968-01-04,,0,1.0,0,0.0,,,1950,1952,66,1.401808387578116, Belgium,Democracy,9035.0,8730.405
BEL-1952,820a892a-1e42-11e4-b4cd-db5882bf8def,211,BEL,van Houtte,1952-01-15,1952-01-15,1954-04-12,1954-04-12,Regular,Regular,Regular,0,OK,M,1907,1991,,,,0,1.0,0,0.0,,,1952,1954,45,2.239607931716599, Belgium,Democracy,9610.0,8819.38
BEL-1954,820a5857-1e42-11e4-b4cd-db5882bf8def,211,BEL,van Acker,1954-04-22,1954-04-22,1958-06-02,1958-06-02,Regular,Regular,Regular,2,OK,M,1898,1975,,,,0,1.0,0,0.0,,,1954,1958,56,4.112336324496739, Belgium,Democracy,10268.0,9052.707
BEL-1958,820a8927-1e42-11e4-b4cd-db5882bf8def,211,BEL,"Eyskens, G.",1958-06-25,1958-06-25,1961-03-27,1961-03-27,Regular,Regular,Regular,1,OK,M,1905,1988,1905-04-01,1988-01-03,,0,1.0,0,0.0,"Father of Eyskens, M.%820ab9ff-1e42-11e4-b4cd-db5882bf8def",0.0,1958,1961,53,2.754334449030439, Belgium,Democracy,11561.0,9165.8
BEL-1961,820a892b-1e42-11e4-b4cd-db5882bf8def,211,BEL,Lefevre,1961-04-25,1961-04-25,1965-07-27,1965-07-27,Regular,Regular,Regular,0,OK,M,1914,1973,,,,0,1.0,0,0.0,,,1961,1965,47,4.254707488860141, Belgium,Democracy,13643.0,9448.1
BEL-1966,820ab9fb-1e42-11e4-b4cd-db5882bf8def,211,BEL,Vanden Boeynants,1966-03-19,1966-03-19,1968-06-16,1968-06-16,Regular,Regular,Regular,0,OK,M,1919,2001,1919-05-22,,,0,1.0,0,0.0,,,1966,1968,47,2.245083745730576, Belgium,Democracy,15009.0,9589.8
BEL-1968,820a8927-1e42-11e4-b4cd-db5882bf8def,211,BEL,"Eyskens, G.",1968-06-17,1968-06-17,1973-01-26,1973-01-26,Regular,Regular,Regular,2,OK,M,1905,1988,1905-04-01,1988-01-03,,0,1.0,0,0.0,"Father of Eyskens, M.%820ab9ff-1e42-11e4-b4cd-db5882bf8def",0.0,1968,1973,63,4.610635399768647, Belgium,Democracy,19399.0,9738.4
BEL-1973,820ab9fc-1e42-11e4-b4cd-db5882bf8def,211,BEL,Leburton,1973-01-26,1973-01-26,1974-04-24,1974-04-24,Regular,Regular,Regular,0,OK,M,1915,1997,,,,0,1.0,0,0.0,,,1973,1974,58,1.240271874165794, Belgium,Democracy,20153.0,9767.8
LUX-1945,820b4c76-1e42-11e4-b4cd-db5882bf8def,212,LUX,Dupong,1945-05-09,1945-05-09,1953-12-22,1953-12-22,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1885,1953,1885-11-01,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Pierre-5FDupong&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=F0YhSVp5u7kQxh22Q01miVpUwkNXHLE52XTOyBMyQNU&e=,0,2.0,0,-777.0,,,1945,1953,60,8.62166916500681, Luxembourg,Democracy,13256.0,301.101
LUX-1953,820b1ba7-1e42-11e4-b4cd-db5882bf8def,212,LUX,Bech,1953-12-28,1953-12-28,1958-03-26,1958-03-26,Regular,Regular,Regular,1,OK,M,1887,1975,1887-02-17,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Joseph-5FBech&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=TYg8v8Cl8XI3OsaYQDzCKTP6VbdCPT9E_WfXvlEnv4w&e=,0,1.0,0,0.0,,,1953,1958,66,4.241017953825199, Luxembourg,Democracy,15093.0,310.291
LUX-1959,820b4c78-1e42-11e4-b4cd-db5882bf8def,212,LUX,Werner,1959-03-07,1959-03-07,1974-05-27,1974-05-27,Regular,Regular,Regular,0,OK,M,1913,2002,1913-12-29,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Pierre-5FWerner&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fnPIf63tERuv5tJDL3ySaiMwk7vOqlgR_PXsTkVmWzk&e=,0,1.0,0,0.0,,,1959,1974,46,15.2227629588561, Luxembourg,Democracy,24503.0,355.05
LUX-1974,820b4c79-1e42-11e4-b4cd-db5882bf8def,212,LUX,Thorn G.,1974-06-15,1974-06-15,1979-07-19,1979-07-19,Regular,Regular,Regular,0,OK,M,1928,2007,1928-09-03,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Gaston-5FThorn&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=KO7Lw-lXlhd9ojqI_B2V6JgTvJ9s6FhhZObuwP4GGyI&e=,0,1.0,0,0.0,,,1974,1979,46,5.092507032998625, Luxembourg,Democracy,24836.0,363.0
LUX-1979,820b4c78-1e42-11e4-b4cd-db5882bf8def,212,LUX,Werner,1979-07-19,1979-07-19,1984-07-20,1984-07-20,Regular,Regular,Regular,1,OK,M,1913,2002,1913-12-29,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Pierre-5FWerner&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fnPIf63tERuv5tJDL3ySaiMwk7vOqlgR_PXsTkVmWzk&e=,0,1.0,0,0.0,,,1979,1984,66,5.004894008774992, Luxembourg,Democracy,27303.0,366.272
POL-1926,8214746b-1e42-11e4-b4cd-db5882bf8def,290,POL,Pildsudski,1926-05-12,1926-05-12,1935-05-12,1935-05-12,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1867,1935,1867-12-05,1935-05-12,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_J-25C3-25B3zef-5FPi-25C5-2582sudski&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=JEyC_kO4nPNOZdfnak1HJijN52APOpBP1O8sajw2OKw&e=,0,2.0,0,-777.0,,,1926,1935,59,8.999500331971225, Poland,Democracy,2546.0,30129.0
POL-1944,8214a53e-1e42-11e4-b4cd-db5882bf8def,290,POL,Bierut,1944-12-31,1944-12-31,1956-03-12,1956-03-12,Irregular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1892,1956,1892-04-18,1956-03-12,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Boles-25C5-2582aw-5FBierut&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=0Ruah6Wxqm2u35JRK-Y9ZO3MFGiDAw_5cS9PxL_z9tw&e=,1,2.0,0,-777.0,,,1944,1956,52,11.19530175157601, Poland,Democracy,4565.0,27743.876
POL-1956-2,8214d610-1e42-11e4-b4cd-db5882bf8def,290,POL,Gomulka,1956-10-21,1956-10-21,1970-12-20,1970-12-20,Regular,Irregular,"Popular Protest, without Foreign Support",0,OK,M,1905,1982,1905-02-06,1982-09-01,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_W-25C5-2582adys-25C5-2582aw-5FGomu-25C5-2582ka&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=3r5khUkMZ-NVB7dEEGYhmkmHbvuGuoeeIOR4xdGxFW8&e=,0,3.0,2,0.0,,,1956,1970,51,14.16319294715155, Poland,Democracy,7058.0,32526.0
POL-1970,8214d611-1e42-11e4-b4cd-db5882bf8def,290,POL,Gierek,1970-12-20,1970-12-20,1980-09-06,1980-09-06,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1913,2001,1913-01-06,2001-07-29,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Edward-5FGierek&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=j4_94yymwJ9jHi1XHI5r3wM_S_ro1maNw6ZVMGmdkpw&e=,0,2.0,0,-777.0,,,1970,1980,57,9.714094060795226, Poland,Democracy,9149.0,35578.016
POL-2005,82517eab-1e42-11e4-b4cd-db5882bf8def,290,POL,Kaczynski,2005-12-23,2005-12-23,2010-04-10,2010-04-10,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1949,2010,,2010-07-08,,0,2.0,0,-777.0,,,2005,2010,56,4.295776093964968, Poland,Democracy,20608.6931,38439.55179
AUS-1918,8215996a-1e42-11e4-b4cd-db5882bf8def,305,AUS,Renner,1918-11-12,1918-11-12,1920-06-11,1920-06-11,Irregular,Regular,Regular,0,OK,M,1870,1950,1870-12-14,1950-12-31,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Karl-5FRenner&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rtndXfEcCpaUhjBUMI74CsuK9L7tOiLJ-LJs4GAc-Ac&e=,1,1.0,0,0.0,,,1918,1920,48,1.579772343032369, Australia,Democracy,7597.0,5358.0
AUS-1922,8215ca3f-1e42-11e4-b4cd-db5882bf8def,305,AUS,Seipel,1922-05-31,1922-05-31,1924-11-19,1924-11-19,Regular,Regular,Regular,0,OK,M,1876,1932,1876-07-19,,,0,1.0,0,0.0,,,1922,1924,46,2.472330027310623, Australia,Democracy,8635.0,5819.0
AUS-1924,8215ca40-1e42-11e4-b4cd-db5882bf8def,305,AUS,Ramek,1924-11-20,1924-11-20,1926-10-15,1926-10-15,Regular,Regular,Regular,0,OK,M,1881,1941,1881-04-12,,,0,1.0,0,0.0,,,1924,1926,43,1.900107462850024, Australia,Democracy,8883.0,6064.0
AUS-1926,8215ca3f-1e42-11e4-b4cd-db5882bf8def,305,AUS,Seipel,1926-10-20,1926-10-20,1929-04-03,1929-04-03,Regular,Regular,Regular,1,OK,M,1876,1932,1876-07-19,,,0,1.0,0,0.0,,,1926,1929,50,2.453164678261703, Australia,Democracy,8389.0,6396.0
