ccode,leader,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,numentry,numexit,yrbegin,yrend,country,end_gdppc,pop_x,begin_gdppc,pop_y,age,tenure,growth_rate,fties_range,growth_rate_normgroup,growth_rate_avggrp
0.7876543209876543,Inonu,0.0,0.0,0.2857142857142857,0.25,0.625,0.5,0.4277456647398844,0.985663082437276,0.0,0.99663675,0.6490066225165563,0.6402877697841727,Turkey,0.019938269127219185,0.023188004714482797,0.017195964907331433,0.021495528063249877,0.8695652173913043,0.0461306195481995,0.046578743704854576,1.0,4,4
0.7876543209876543,Demirel,0.0,0.16666666666666666,0.42857142857142855,0.0,0.625,0.5,0.6589595375722543,0.0,0.0,0.9988789,0.6754966887417219,0.6834532374100719,Turkey,0.027866240492933656,0.026580594140425143,0.020180720805010592,0.02366827966399753,0.34782608695652173,0.08924178036233504,0.0659923266276431,1.0,4,4
0.7876543209876543,Erim,0.5,0.0,0.2857142857142857,0.0,0.625,0.5,0.5895953757225434,0.9881720430107527,0.5,0.99663675,0.7152317880794702,0.6906474820143885,Turkey,0.029241107488284464,0.027249687298879388,0.028205097227093554,0.027111994191591767,0.6086956521739131,0.0016215611719973164,0.04196780809965497,1.0,4,5
0.7876543209876543,Demirel,0.0,0.0,0.2857142857142857,0.25,0.625,0.5,0.6589595375722543,0.0,0.0,0.99663675,0.7417218543046358,0.7266187050359713,Turkey,0.03786293696380215,0.030828747832925524,0.03473384433225668,0.030050291427769254,0.4927536231884058,0.024994408409751735,0.04336204365715627,1.0,4,5
0.7876543209876543,Ecevit,0.0,0.0,0.2857142857142857,0.5,0.25,0.5,0.6647398843930635,0.9974910394265233,0.0,0.99663675,0.7615894039735099,0.7410071942446043,Turkey,0.037432487951239046,0.03213970326918957,0.038837070849545456,0.03209225950136091,0.5217391304347826,0.017557593379557146,-0.012349561139416376,1.0,4,5
0.7876543209876543,Evren,0.5,0.0,0.2857142857142857,0.0,0.625,0.5,0.6184971098265896,0.0,0.5,0.99663675,0.7748344370860927,0.7697841726618705,Turkey,0.039263502407664186,0.03543402495758983,0.03701630472459957,0.03341137979630985,0.6666666666666666,0.044341310668754186,0.021753202499456326,1.0,4,5
0.7876543209876543,Ozal,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.6763005780346821,0.992831541218638,0.0,0.99663675,0.7947019867549668,0.8129496402877698,Turkey,0.04891969443575888,0.040418837107415014,0.03974095117585788,0.036098843024810624,0.5652173913043478,0.1002012972489376,0.03920225712409007,1.0,4,5
0.7876543209876543,Akbulut,0.0,0.0,0.2857142857142857,0.0,0.625,0.5,0.7225433526011561,0.0,0.0,0.99663675,0.8344370860927153,0.8273381294964028,Turkey,0.05320091718610785,0.04208821427405343,0.04951456362512101,0.041158774499693726,0.5362318840579711,0.012636993961082532,0.05144285179647555,1.0,4,4
0.7876543209876543,Demirel,0.0,0.0,0.2857142857142857,1.0,0.625,0.5,0.6589595375722543,0.0,0.0,0.99663675,0.847682119205298,0.841726618705036,Turkey,0.06095492483200919,0.043746311148969944,0.05384784654339116,0.04285330857942252,0.7246376811594203,0.009897114739431894,0.09376143097709132,1.0,3,4
0.7876543209876543,Ciller,0.0,0.0,0.2857142857142857,0.0,0.625,1.0,0.7861271676300579,0.0,0.0,0.99663675,0.8609271523178808,0.8633093525179856,Turkey,0.06596183900279345,0.046252631070157355,0.06169614382654039,0.04453639237749294,0.43478260869565216,0.034611943636770295,0.02929260413176649,1.0,4,5
0.7876543209876543,Erbakan,0.0,0.16666666666666666,0.42857142857142855,0.0,0.625,0.5,0.6705202312138728,0.0,0.0,0.9988789,0.8807947019867549,0.8705035971223022,Turkey,0.07102316642599417,0.04710377355968421,0.06676394265754858,0.04708048163786506,0.7681159420289855,5.5915902482663744e-05,0.07365496527421263,1.0,3,4
0.7876543209876543,Yilmaz,0.5,0.0,0.2857142857142857,0.5,0.625,0.5,0.791907514450867,0.9992831541218637,0.5,0.99663675,0.8874172185430463,0.8848920863309353,Turkey,0.06921937176623212,0.04878446134379317,0.0718868164124683,0.04794445053838187,0.4782608695652174,0.010847685081637215,-0.016017497105254026,1.0,4,5
0.7876543209876543,Ecevit,0.0,0.0,0.2857142857142857,0.75,0.25,0.5,0.6647398843930635,0.9974910394265233,0.0,0.99663675,0.9006622516556292,0.9064748201438849,Turkey,0.07308878715856804,0.05083346452016689,0.07006108739928471,0.049650465682515785,0.8260869565217391,0.05820845448445538,0.014019922132798797,1.0,4,5
0.7876543209876543,Erdogan,0.0,1.0,1.0,0.0,0.875,0.5,0.8323699421965318,0.0,0.0,0.0,0.9271523178807947,1.0,Turkey,0.1250128004775111,0.06028398668206861,0.07804991466332534,0.05235232271658047,0.463768115942029,0.24094162379780806,0.04705065198744162,1.0,4,4
